easting,northing,height,dz_dx,dz_dy,tangent_x,tangent_y,tangent_derivative
3.333707305591756012e+05,4.979743995284277014e+06,2.213514000000000124e+03,2.116579472859686784e-01,-2.289295133221850298e-01,-3.784324565637929849e-01,9.256289082667485957e-01,-2.920020124291311525e-01
3.333701403947268846e+05,4.979745277911118232e+06,2.213016000000000076e+03,2.217826173899195563e-01,-2.358100600844076078e-01,-4.513117620294212484e-01,8.923663448684621136e-01,-3.105220652424768302e-01
3.333694544144601678e+05,4.979746518570153974e+06,2.212503999999999905e+03,2.338319143355410690e-01,-2.462756232554429159e-01,-5.135645965228485821e-01,8.580509339184495543e-01,-3.314048212755784650e-01
3.333686805065887165e+05,4.979747717055850662e+06,2.211945000000000164e+03,2.479328121575909150e-01,-2.587991713802403893e-01,-5.813934251015374644e-01,8.136225692842492530e-01,-3.547113536023838165e-01
3.333677789407838136e+05,4.979748863287411630e+06,2.211391000000000076e+03,2.568864810281841771e-01,-2.709518552840749495e-01,-6.985979497578629349e-01,7.155144335330424488e-01,-3.733303322151134140e-01
3.333656513089474174e+05,4.979750819605228491e+06,2.210324999999999818e+03,2.716258086087863788e-01,-2.925496603442183097e-01,-7.659678784523901163e-01,6.428788448682570822e-01,-3.961306320616790888e-01
3.333644573745673988e+05,4.979751651086629368e+06,2.209795000000000073e+03,2.785612936689383368e-01,-3.015147693129731077e-01,-8.502981725237769295e-01,5.263012614489210872e-01,-3.955477623774555918e-01
3.333631577097830595e+05,4.979752363045433536e+06,2.209295999999999822e+03,2.823429828332055802e-01,-3.069451241918320639e-01,-8.983219737548725492e-01,4.393377191513952451e-01,-3.884874763816445475e-01
3.333617683803908294e+05,4.979752966179216281e+06,2.208905999999999949e+03,2.882574000228336764e-01,-3.114290190613480669e-01,-9.273689025702279709e-01,3.741482574404043082e-01,-3.838415735151002872e-01
3.333603299852046184e+05,4.979753503894798458e+06,2.208519999999999982e+03,2.899691277342361095e-01,-3.127011578394086055e-01,-9.390682771714605748e-01,3.437306660893448274e-01,-3.797857864853495524e-01
3.333588910112284357e+05,4.979754019393389113e+06,2.208027999999999793e+03,2.916661343327089373e-01,-3.117109126198100988e-01,-9.403098460625833876e-01,3.403195460119219362e-01,-3.803378541457939632e-01
3.333574835901365150e+05,4.979754534069991671e+06,2.207423999999999978e+03,2.895555575946569538e-01,-3.118490655597048744e-01,-9.364658532765566257e-01,3.507587570496432661e-01,-3.805426829366643227e-01
3.333561158996014856e+05,4.979755058827663772e+06,2.206751000000000204e+03,2.871134368003525061e-01,-3.136581532424580487e-01,-9.310210949361623634e-01,3.649653692939504035e-01,-3.817830300309410507e-01
3.333547800514562987e+05,4.979755593871964142e+06,2.206032999999999902e+03,2.833783955225854245e-01,-3.150488213110952396e-01,-8.873718700981827467e-01,4.610544047706884863e-01,-3.967166635635931415e-01
3.333523542653836776e+05,4.979757013270985335e+06,2.204646000000000186e+03,2.736953557814093552e-01,-3.236723878665916376e-01,-8.242601071896925591e-01,5.662113348350037434e-01,-4.088631380768814605e-01
3.333512981963757193e+05,4.979757985672556795e+06,2.204056999999999789e+03,2.714795103909969365e-01,-3.281412522158287381e-01,-7.069433597379255474e-01,7.072701648751019698e-01,-4.240051547328300696e-01
3.333503464109336492e+05,4.979759022053624503e+06,2.203407999999999902e+03,2.701215080148113845e-01,-3.322285334128723955e-01,-6.489282382542661543e-01,7.608496182533144303e-01,-4.280654271306796876e-01
