easting,northing,tangent_derivative,inclination_deg
3.333588910112284357e+05,4.979754019393389113e+06,-3.797191048574122263e-01,-2.079272634380379614e+01
3.333574835901365150e+05,4.979754534069991671e+06,-3.830324418079698034e-01,-2.095846082922968989e+01
3.333561158996014856e+05,4.979755058827663772e+06,-3.833259097850276187e-01,-2.097312257594612817e+01
3.333547800514562987e+05,4.979755593871964142e+06,-3.966173383058566038e-01,-2.163413533057552485e+01
3.333523542653836776e+05,4.979757013270985335e+06,-4.082801374932353289e-01,-2.220921831005773583e+01
3.333512981963757193e+05,4.979757985672556795e+06,-4.225398663632529139e-01,-2.290599597045822478e+01
3.333503464109336492e+05,4.979759022053624503e+06,-4.261603270505447405e-01,-2.308177919883422646e+01
3.333494752445605700e+05,4.979760123030913062e+06,-4.263411225991708964e-01,-2.309054530896748503e+01
3.333487171184614999e+05,4.979761321108008735e+06,-4.202471618497826134e-01,-2.279444252164618590e+01
3.333481433155542472e+05,4.979762625543210655e+06,-4.069591086768968857e-01,-2.214431317103170116e+01
3.333477462371365400e+05,4.979764047650718130e+06,-3.913483042776683130e-01,-2.137280632960743887e+01
3.333474779751413153e+05,4.979765566446728073e+06,-3.780704499886768932e-01,-2.071012389785454033e+01
3.333472894634059048e+05,4.979767116512815468e+06,-3.716531362459964960e-01,-2.038774113171019309e+01
3.333469209075064864e+05,4.979770238656750880e+06,-3.668064935948000538e-01,-2.014336514977131642e+01
3.333467478828909807e+05,4.979771777203022502e+06,-3.640126109360544704e-01,-2.000214395257872724e+01
3.333465897660786286e+05,4.979773282012133859e+06,-3.670417390733797247e-01,-2.015524438243482308e+01
3.333463919191260356e+05,4.979774776740564033e+06,-3.733487393864419746e-01,-2.047305423852560935e+01
3.333461543420592789e+05,4.979776261388313957e+06,-3.864080878577427769e-01,-2.112693518733682296e+01
3.333457102258638479e+05,4.979777695838237181e+06,-4.027490760763502431e-01,-2.193706551300636320e+01
3.333450432153193979e+05,4.979779058284249157e+06,-4.064633647800438010e-01,-2.211994068875489816e+01
3.333442795207001036e+05,4.979780345436871052e+06,-4.019089568938961632e-01,-2.189563631799244448e+01
3.333433241948897485e+05,4.979781548654653132e+06,-3.841822046301437421e-01,-2.101588687739293704e+01
3.333409213657705695e+05,4.979783545503188856e+06,-3.652837344910854211e-01,-2.006642643162287953e+01
3.333395448556150077e+05,4.979784337283701636e+06,-3.419467334077717635e-01,-1.887795555795230840e+01
3.333381187006324762e+05,4.979785041428854689e+06,-3.345804724732276414e-01,-1.849923497206693668e+01
3.333366513680064818e+05,4.979785679950398393e+06,-3.353481585185985603e-01,-1.853878282858568483e+01
3.333351676802982111e+05,4.979786296666179784e+06,-3.419220975468714174e-01,-1.887669178620912191e+01
3.333336766838462790e+05,4.979786935805248097e+06,-3.501341309732604046e-01,-1.929689238153562414e+01
3.333322259969868464e+05,4.979787607242594473e+06,-3.533842552151736371e-01,-1.946260618258954267e+01
3.333308302377394866e+05,4.979788266132324003e+06,-3.534043034856707566e-01,-1.946362733472162532e+01
3.333294677686481155e+05,4.979788990851872601e+06,-3.692246454108460973e-01,-2.026538869681144206e+01
3.333270258653011988e+05,4.979790699703092687e+06,-3.908997770613865108e-01,-2.135051733885845238e+01
3.333259622073234059e+05,4.979791683423419483e+06,-4.129560685847852852e-01,-2.243847492777565478e+01
3.333250361225798842e+05,4.979792796952313744e+06,-4.240335590016008349e-01,-2.297857427525211449e+01
3.333242554991825018e+05,4.979794040084094740e+06,-4.237880088551569391e-01,-2.296664837644732415e+01
3.333235958040287369e+05,4.979795380109593272e+06,-4.123893771166970978e-01,-2.241073070573770210e+01
3.333230956089319661e+05,4.979796782674668357e+06,-3.927584648417320468e-01,-2.144283825576232516e+01
3.333228031112166354e+05,4.979798279871522449e+06,-3.666211722120278349e-01,-2.013400567044870471e+01
3.333226780014698743e+05,4.979799839402260259e+06,-3.516444990130093706e-01,-1.937394332072280179e+01
3.333225932010919787e+05,4.979801431230869144e+06,-3.522211615091728198e-01,-1.940334237691728703e+01
3.333224390871907817e+05,4.979804603368192911e+06,-3.747277198654639929e-01,-2.054236684247514333e+01
3.333223610168236773e+05,4.979806150556546636e+06,-3.918319334771907525e-01,-2.139683206701463192e+01
3.333222832361009205e+05,4.979807708853568882e+06,-4.078254518888649871e-01,-2.218688534153601566e+01
3.333222121852352284e+05,4.979809222510323860e+06,-4.205424484433241683e-01,-2.280882020365261198e+01
3.333221563314719824e+05,4.979810713538508862e+06,-4.380643229271393158e-01,-2.365651089421795206e+01
3.333219342485780362e+05,4.979812186667505652e+06,-4.594839417958261341e-01,-2.467802138852641392e+01
3.333215912381786620e+05,4.979813562902947888e+06,-4.714457264965489225e-01,-2.524133344608484464e+01
3.333211527020905633e+05,4.979814908279944211e+06,-4.845458482663841382e-01,-2.585231569055501311e+01
3.333204763651346439e+05,4.979816215391146950e+06,-4.963498064908494767e-01,-2.639749446228493213e+01
3.333186273909988813e+05,4.979818564646264538e+06,-4.979109376405713161e-01,-2.646921561872689921e+01
3.333175421020459617e+05,4.979819626745708287e+06,-4.869289668680463201e-01,-2.596279235932266261e+01
3.333163911024676636e+05,4.979820590512447990e+06,-4.766346426625814869e-01,-2.548408630772448902e+01
3.333151591952466406e+05,4.979821478575112298e+06,-4.621515001252874399e-01,-2.480409012843885819e+01
3.333137902949969284e+05,4.979822259047210217e+06,-4.400339155629871546e-01,-2.375112250419709525e+01
3.333123469271686627e+05,4.979822908066403121e+06,-4.241463551663164910e-01,-2.298405186276596979e+01
3.333108948027420556e+05,4.979823523965584114e+06,-4.179335491869718977e-01,-2.268168641440199096e+01
3.333094508562656119e+05,4.979824150768122636e+06,-4.154925254470016038e-01,-2.256251940295995340e+01
3.333080150877449196e+05,4.979824788474014029e+06,-4.284800805286936853e-01,-2.319416866036490887e+01
3.333052819930147380e+05,4.979826227020730264e+06,-4.472887194988826032e-01,-2.409842935841808753e+01
3.333040258449094836e+05,4.979827093485227786e+06,-4.684636468625597017e-01,-2.510138217292188045e+01
3.333028587828995660e+05,4.979828046557135880e+06,-4.729824373068551302e-01,-2.531332693571605574e+01
3.333018216954544187e+05,4.979829140751461498e+06,-4.719119732328992400e-01,-2.526318570510946060e+01
3.333009221810431918e+05,4.979830364753827453e+06,-4.665920261560063120e-01,-2.501338158238192477e+01
3.333001354169587139e+05,4.979831674746487290e+06,-4.600632463554734097e-01,-2.470542103515195720e+01
3.332995177781477105e+05,4.979833113724472001e+06,-4.520308148077386012e-01,-2.432443442070206174e+01
3.332990996583403321e+05,4.979834636430461891e+06,-4.420646634585931323e-01,-2.384852801941507394e+01
3.332988091959464946e+05,4.979836211389322765e+06,-4.296429850464936195e-01,-2.325043913362449999e+01
3.332984289487325586e+05,4.979839489469670691e+06,-4.308531975703072670e-01,-2.330894835820543420e+01
3.332982822096594027e+05,4.979841127378757112e+06,-4.308169884037795772e-01,-2.330719852741133380e+01
3.332981112272700993e+05,4.979842743687494658e+06,-4.375711028284995363e-01,-2.363279703923735653e+01
3.332979238896374591e+05,4.979844338190231472e+06,-4.393354603215934850e-01,-2.371758711636589467e+01
3.332977283744498855e+05,4.979845921789973043e+06,-4.439578300560751423e-01,-2.393920273938553223e+01
3.332974057816563291e+05,4.979847475354247727e+06,-4.537278669341522908e-01,-2.440511979344451987e+01
3.332968535666668322e+05,4.979849001556622796e+06,-4.550541749594647079e-01,-2.446810666729386696e+01
3.332961097217506031e+05,4.979850443825556897e+06,-4.470111294545489056e-01,-2.408517478114373134e+01
3.332951669382082764e+05,4.979851824584105052e+06,-4.307936273081698353e-01,-2.330606956330439417e+01
3.332928622154264012e+05,4.979854252427559346e+06,-4.162267129453601777e-01,-2.259838302107916164e+01
3.332915402956998441e+05,4.979855320701624267e+06,-3.972134222578623808e-01,-2.166364017759160632e+01
