easting,northing,dz_dx,dz_dy,inclination_deg
3.333080150877449196e+05,4.979824788474014029e+06,2.742422970165778184e-01,-4.104859651876979765e-01,2.627405450851645696e+01
3.333052819930147380e+05,4.979826227020730264e+06,2.759254198471163266e-01,-4.165081764968491251e-01,2.654734401011324607e+01
3.333040258449094836e+05,4.979827093485227786e+06,2.721463290344454666e-01,-4.177510044651683296e-01,2.649981160792621537e+01
3.333028587828995660e+05,4.979828046557135880e+06,2.633517586698450597e-01,-4.114673621477306087e-01,2.603680109749916838e+01
3.333018216954544187e+05,4.979829140751461498e+06,2.532974306243176432e-01,-4.033114499442088663e-01,2.546640216324131245e+01
3.333009221810431918e+05,4.979830364753827453e+06,2.448537748026278771e-01,-3.975213531181392423e-01,2.502691288759962873e+01
3.333001354169587139e+05,4.979831674746487290e+06,2.399321972380503709e-01,-3.940476093840360461e-01,2.476609247436658379e+01
3.332995177781477105e+05,4.979833113724472001e+06,2.389601329469209778e-01,-3.953071726659038720e-01,2.479314012264240219e+01
3.332990996583403321e+05,4.979834636430461891e+06,2.425566990894273411e-01,-3.979986151156018614e-01,2.498959211852868734e+01
3.332988091959464946e+05,4.979836211389322765e+06,2.453193795319902060e-01,-3.998226154157738521e-01,2.513051841368719863e+01
3.332984289487325586e+05,4.979839489469670691e+06,2.455810625560059801e-01,-4.069957997943144390e-01,2.542398027344142974e+01
3.332982822096594027e+05,4.979841127378757112e+06,2.456539101166215489e-01,-4.088813564972467729e-01,2.550118153493465201e+01
3.332981112272700993e+05,4.979842743687494658e+06,2.443734744366499734e-01,-4.130158678156649055e-01,2.563617875478765384e+01
3.332979238896374591e+05,4.979844338190231472e+06,2.442452971894032432e-01,-4.130885832044328132e-01,2.563605457316795722e+01
3.332977283744498855e+05,4.979845921789973043e+06,2.457575720994651658e-01,-4.093843115946895761e-01,2.552379374212620533e+01
3.332974057816563291e+05,4.979847475354247727e+06,2.469264431914538760e-01,-4.015377535228794037e-01,2.523855720208792164e+01
3.332968535666668322e+05,4.979849001556622796e+06,2.453579761112677782e-01,-3.894108738883801379e-01,2.471483197996586867e+01
3.332961097217506031e+05,4.979850443825556897e+06,2.404166305711676332e-01,-3.770775750963893391e-01,2.409418347645758729e+01
3.332951669382082764e+05,4.979851824584105052e+06,2.328915459611374250e-01,-3.675572881723209173e-01,2.351523209539145043e+01
3.332928622154264012e+05,4.979854252427559346e+06,2.244206035973002888e-01,-3.669230499803972090e-01,2.327316527543110425e+01
3.332915402956998441e+05,4.979855320701624267e+06,2.193841323911829566e-01,-3.717254401499516803e-01,2.334674211945724309e+01
3.332901284219255904e+05,4.979856269043012522e+06,2.133267160799331985e-01,-3.704266797220484575e-01,2.314489257641116993e+01
3.332886189956553280e+05,4.979857108766112477e+06,2.097322180758645627e-01,-3.628526967011687088e-01,2.273884106618842083e+01
3.332870762797469506e+05,4.979857882660285570e+06,2.080365118177578965e-01,-3.516284856835675821e-01,2.222299145310403290e+01
3.332855665645901463e+05,4.979858711275465786e+06,2.066439034072355130e-01,-3.410644497000095421e-01,2.174119751435508618e+01
3.332840810932287714e+05,4.979859561491317116e+06,2.070685157335646620e-01,-3.340823610686472489e-01,2.145731399745969625e+01
3.332826198656699271e+05,4.979860433307825588e+06,2.076419311613061924e-01,-3.306683067125560926e-01,2.132850946769043432e+01
3.332812240600279765e+05,4.979861392348562367e+06,2.011529546737713947e-01,-3.238522606525486847e-01,2.086877277331833369e+01
3.332787505110373022e+05,4.979863702321297489e+06,1.817051589644480825e-01,-2.992111735791553873e-01,1.929326093399079767e+01
3.332777189372992143e+05,4.979865007584437728e+06,1.759237823592209315e-01,-2.851767389485900250e-01,1.852468946173753039e+01
3.332768798630213132e+05,4.979866430106658489e+06,1.756835334587412145e-01,-2.758183412040874360e-01,1.810865181915400512e+01
3.332762487745271064e+05,4.979867958367853425e+06,1.790315275960167596e-01,-2.705672046040916712e-01,1.797494365182417297e+01
3.332757941195993917e+05,4.979869593190695159e+06,1.807851239125465026e-01,-2.695235388560662804e-01,1.798031922570832819e+01
3.332754510559461196e+05,4.979871269568643533e+06,1.812683609148200981e-01,-2.713385117780059419e-01,1.807238659006843662e+01
3.332751480119519401e+05,4.979872967135518789e+06,1.800791688178303707e-01,-2.772020654310557997e-01,1.829178684216629591e+01
3.332748846979237278e+05,4.979874674782652408e+06,1.761965183812082003e-01,-2.876622974343600592e-01,1.864104425958255362e+01
3.332746602448328631e+05,4.979876359184050933e+06,1.705815175433458564e-01,-2.966569673437013388e-01,1.889113916346958888e+01
3.332742025820912095e+05,4.979879694866589271e+06,1.601927343009530158e-01,-3.054366617264935857e-01,1.902911038666331578e+01
